X,Y,Z
-4.992256,8.629330,-7.335156
-5.081966,8.661301,-7.344512
-5.172053,8.692185,-7.354447
-5.262491,8.722029,-7.365226
-5.307794,8.736696,-7.370856
-5.353250,8.750884,-7.377053
-5.444301,8.778813,-7.390054
-5.535610,8.805885,-7.403969
-5.627147,8.832173,-7.417278
-5.718893,8.857716,-7.428643
-5.810819,8.882614,-7.437937
-5.902873,8.907038,-7.444934
-5.995018,8.931112,-7.449209
-6.087221,8.954960,-7.450502
-6.179449,8.978709,-7.450289
-6.271666,9.002499,-7.450492
-6.363825,9.026525,-7.451437
-6.455872,9.050977,-7.452837
-6.547763,9.075977,-7.454311
-6.639474,9.101648,-7.455659
-6.730969,9.128090,-7.456827
-6.822206,9.155391,-7.458040
-6.913156,9.183624,-7.459655
-7.003780,9.212900,-7.461811
-7.094040,9.243276,-7.464567
-7.183938,9.274694,-7.467978
-7.228798,9.290657,-7.469853
-7.273487,9.307106,-7.472082
-7.362690,9.340458,-7.476894
-7.451559,9.374672,-7.482388
-7.540136,9.409651,-7.488378
-7.628458,9.445267,-7.494516
-7.716578,9.481371,-7.500477
-7.804557,9.517817,-7.506743
-7.892457,9.554441,-7.513958
-7.980344,9.591082,-7.522002
-8.068273,9.627592,-7.530547
-8.156296,9.663852,-7.539217
-8.244450,9.699734,-7.547600
-8.332771,9.735119,-7.555246
-8.421294,9.769899,-7.561758
-8.510031,9.803967,-7.566917
-8.598989,9.837222,-7.570462
-8.688178,9.869535,-7.571898
-8.777578,9.900771,-7.570684
-8.867147,9.930867,-7.566367
-8.956839,9.959784,-7.558557
-9.046598,9.987462,-7.546896
-9.091490,10.000985,-7.540063
-9.136383,10.013859,-7.531177
-9.226158,10.038949,-7.512207
-9.315901,10.062722,-7.491189
-9.405603,10.085186,-7.468578
-9.495280,10.106246,-7.444531
-9.584985,10.125939,-7.419398
-9.674784,10.144436,-7.393670
-9.764759,10.161798,-7.367733
-9.855005,10.178092,-7.342008
-9.945623,10.193384,-7.316948
-10.036739,10.207726,-7.293108
-10.128523,10.221136,-7.271330
-10.221036,10.233725,-7.252293
-10.314221,10.245625,-7.236370
-10.408015,10.256886,-7.223960
-10.502310,10.267548,-7.215348
-10.596960,10.277647,-7.210705
-10.691784,10.287165,-7.210474
-10.786572,10.296129,-7.214592
-10.881159,10.304623,-7.222362
-10.975458,10.312683,-7.233332
-11.022530,10.316608,-7.239567
-11.069428,10.320335,-7.247087
-11.163039,10.327583,-7.263272
-11.256317,10.334416,-7.281391
-11.349394,10.340878,-7.300579
-11.442417,10.347018,-7.320042
-11.535512,10.352842,-7.339181
-11.628841,10.358324,-7.357126
-11.722564,10.363436,-7.372836
-11.816706,10.368208,-7.385711
-11.911219,10.372656,-7.395388
-12.006038,10.376776,-7.401429
-12.101045,10.380547,-7.403165
-12.196023,10.383946,-7.400001
-12.290735,10.387013,-7.392183
-12.385019,10.389791,-7.380203
-12.478756,10.392307,-7.364330
-12.571849,10.394587,-7.344859
-12.664204,10.396650,-7.322022
-12.755934,10.398561,-7.296688
-12.847292,10.400394,-7.269965
-12.938465,10.402194,-7.242528
-12.984031,10.403091,-7.228718
-13.029682,10.404015,-7.215154
-13.121266,10.405926,-7.188982
-13.213447,10.407976,-7.164963
-13.306280,10.410183,-7.143623
-13.399801,10.412560,-7.125531
-13.494009,10.415120,-7.111345
-13.588828,10.417873,-7.102146
-13.684002,10.420782,-7.098198
-13.779229,10.423784,-7.099071
-13.874293,10.426833,-7.104717
-13.968995,10.429873,-7.114977
-14.063020,10.432807,-7.130224
-14.155890,10.435269,-7.149783
-14.247305,10.436630,-7.172164
-14.337903,10.436811,-7.197062
-14.428308,10.436344,-7.224434
-14.518295,10.435610,-7.253811
-14.607471,10.434813,-7.284317
-14.695837,10.433887,-7.315419
-14.784080,10.432488,-7.346984
-14.873007,10.430319,-7.378499
-14.917733,10.429009,-7.394137
-14.963270,10.427509,-7.409335
-15.055485,10.424399,-7.439122
-15.149200,10.421413,-7.467359
-15.243059,10.418144,-7.493496
-15.336403,10.413095,-7.516783
-15.428788,10.405203,-7.536131
-15.520710,10.394598,-7.551325
-15.613174,10.382439,-7.562632
-15.706206,10.369488,-7.569909
-15.799858,10.355787,-7.573412
-15.894670,10.341660,-7.574114
-15.990711,10.327724,-7.573083
-16.087128,10.314493,-7.570728
-16.182980,10.302197,-7.567110
-16.277983,10.290650,-7.561951
-16.371944,10.279664,-7.554927
-16.464767,10.269110,-7.545946
-16.557125,10.258699,-7.534814
-16.649702,10.248245,-7.521696
-16.742811,10.237829,-7.507078
-16.836260,10.227715,-7.491771
-16.882992,10.222769,-7.484080
-16.929762,10.218010,-7.476475
-17.023354,10.208649,-7.461493
-17.117073,10.199571,-7.447097
-17.210953,10.190716,-7.433583
-17.305042,10.182018,-7.421441
-17.399342,10.173402,-7.410950
-17.493813,10.164810,-7.402131
-17.588436,10.156217,-7.395104
-17.683186,10.147604,-7.390011
-17.778030,10.138960,-7.387237
-17.872911,10.130291,-7.386767
-17.967777,10.121621,-7.388264
-18.062595,10.112974,-7.391665
-18.157328,10.104385,-7.397064
-18.251930,10.095917,-7.404467
-18.346405,10.087618,-7.413492
-18.440762,10.079525,-7.423803
-18.535002,10.071706,-7.435295
-18.629137,10.064295,-7.447825
-18.722971,10.057286,-7.459939
-18.816072,10.050477,-7.469092
-18.862385,10.047094,-7.472626
-18.908636,10.043863,-7.474270
-19.001396,10.037664,-7.475808
-19.094851,10.031980,-7.474104
-19.189245,10.026884,-7.469678
-19.284632,10.022743,-7.462847
-19.380835,10.019871,-7.453472
-19.477432,10.018332,-7.441640
-19.573917,10.018164,-7.427848
-19.669888,10.019473,-7.412368
-19.765112,10.022064,-7.395681
-19.859562,10.025552,-7.378423
-19.953440,10.029926,-7.360857
-20.047140,10.035089,-7.343316
-20.141249,10.040685,-7.326329
-20.235950,10.046732,-7.310615
-20.330837,10.053740,-7.297023
-20.425663,10.061799,-7.286361
-20.520432,10.070704,-7.279326
-20.615114,10.080591,-7.276422
-20.709681,10.091626,-7.276781
-20.804125,10.103724,-7.278078
-20.851318,10.110011,-7.278654
-20.898445,10.116791,-7.279099
-20.992605,10.130981,-7.279852
-21.086565,10.146463,-7.280369
-21.180317,10.163174,-7.280719
-21.273853,10.181040,-7.280952
-21.367157,10.200115,-7.281091
